MutationType	SP1086	SP1003	SP1677	SP1305	SP963	SP1144	SP1132	SP1712	SP1114	SP1431	SP975	SP1059	SP1419	SP1009	SP1724	SP96136	SP967	SP1781	SP1174	SP953	SP1377	SP1365	SP1491
T[Ins(C):R4]A	1	1	1	2	0	1	0	1	0	0	0	0	2	1	1	2	0	0	2	1	0	1	2
T[Ins(C):R4]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
T[Ins(C):R4]T	0	2	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
T[Ins(C):R5]A	1	1	0	2	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0
T[Ins(C):R5]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Ins(C):R5]T	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0
T[Ins(C):R6]A	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	3	0	1	1	1
T[Ins(C):R6]G	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
T[Ins(C):R6]T	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0
T[Ins(C):R7]A	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	3	3	0	0	1	0
T[Ins(C):R7]G	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
T[Ins(C):R7]T	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0
T[Ins(C):R8]A	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0
T[Ins(C):R8]G	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
T[Ins(C):R8]T	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
T[Ins(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Ins(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Ins(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(T):R0]A	1	2	1	5	2	1	1	1	1	1	1	5	1	3	2	0	0	1	1	1	1	0	1
A[Ins(T):R0]C	1	0	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A[Ins(T):R0]G	0	0	0	3	0	0	0	0	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0
A[Ins(T):R1]A	1	1	2	5	0	2	1	0	2	1	2	3	1	3	3	3	1	0	0	1	2	2	3
A[Ins(T):R1]C	0	0	0	2	1	0	0	0	0	0	1	2	1	1	1	1	0	1	0	2	0	1	0
A[Ins(T):R1]G	2	0	1	3	3	1	0	0	1	0	1	7	0	0	0	1	0	1	0	2	0	0	0
A[Ins(T):R2]A	0	1	0	2	0	1	2	0	0	1	1	2	0	3	1	1	0	2	1	1	1	2	0
A[Ins(T):R2]C	0	1	0	1	1	0	0	0	1	2	0	1	0	5	1	0	0	0	0	1	1	0	0
A[Ins(T):R2]G	0	3	0	2	1	1	1	0	1	1	1	5	2	1	1	0	1	2	1	0	1	0	0
A[Ins(T):R3]A	0	2	1	1	1	1	0	1	1	0	0	0	1	2	0	0	1	1	1	1	0	0	1
A[Ins(T):R3]C	0	2	0	2	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	1	0	2	0
A[Ins(T):R3]G	0	1	0	0	0	0	0	1	2	0	0	1	1	2	1	2	0	1	0	1	0	0	0
A[Ins(T):R4]A	0	0	2	0	0	0	3	0	0	2	0	0	0	0	0	0	1	2	0	1	2	1	1
A[Ins(T):R4]C	0	2	0	2	1	0	0	1	0	1	0	3	2	0	1	0	0	4	2	1	0	3	1
A[Ins(T):R4]G	0	4	1	1	0	2	0	0	3	3	3	2	3	1	0	2	1	1	0	1	0	0	2
A[Ins(T):R5]A	3	1	0	2	1	2	0	1	0	3	3	3	2	2	3	3	0	6	4	0	1	0	0
A[Ins(T):R5]C	1	2	3	4	0	1	0	4	0	3	4	2	10	3	0	3	5	3	4	6	1	1	1
A[Ins(T):R5]G	3	0	2	3	2	0	3	3	5	1	0	4	2	2	1	2	1	5	4	3	1	5	3
A[Ins(T):R6]A	4	6	5	5	3	0	2	2	1	5	8	8	7	5	2	2	2	7	12	3	4	8	1
A[Ins(T):R6]C	4	7	5	8	5	0	7	6	5	11	10	7	6	5	3	5	5	10	13	10	1	8	6
A[Ins(T):R6]G	2	6	5	7	4	2	4	9	9	5	4	9	5	6	4	4	8	15	11	4	4	6	4
A[Ins(T):R7]A	3	7	7	7	4	3	7	10	6	6	5	11	6	8	2	6	4	7	13	11	13	5	2
A[Ins(T):R7]C	6	4	5	5	1	3	4	7	5	7	7	9	7	4	2	4	6	12	11	8	10	9	9
A[Ins(T):R7]G	6	7	4	11	7	2	7	5	6	9	6	4	13	5	3	3	8	14	8	8	5	6	6
A[Ins(T):R8]A	1	6	3	4	2	7	5	3	1	7	8	3	2	6	0	7	8	12	18	9	10	9	1
A[Ins(T):R8]C	2	4	2	6	3	2	6	5	4	3	4	3	5	2	4	8	3	19	11	13	6	4	5
A[Ins(T):R8]G	2	7	1	8	3	1	4	4	5	3	1	3	10	3	1	3	4	17	23	4	11	7	1
A[Ins(T):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(T):R(9,)]C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(T):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C[Ins(T):R0]A	0	1	0	0	0	1	0	1	2	0	0	2	0	1	0	1	0	1	0	0	0	0	0
C[Ins(T):R0]C	1	0	0	1	2	0	0	1	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0
C[Ins(T):R0]G	0	0	0	0	0	0	0	1	0	0	1	2	1	0	0	0	0	0	1	0	0	1	0
C[Ins(T):R1]A	1	1	0	3	1	1	1	1	1	2	2	2	0	0	1	1	1	1	1	0	1	1	0
C[Ins(T):R1]C	1	0	1	3	0	1	1	0	0	0	0	0	0	1	0	3	0	2	1	0	0	0	2
C[Ins(T):R1]G	1	1	3	7	3	3	2	1	0	1	2	3	3	1	0	2	0	1	0	0	1	1	3
C[Ins(T):R2]A	2	0	3	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0
C[Ins(T):R2]C	0	2	0	1	0	0	0	0	0	1	1	0	0	2	0	3	1	1	0	0	0	0	1
C[Ins(T):R2]G	1	4	3	3	1	0	1	0	1	0	1	1	0	1	0	0	1	1	1	3	1	0	1
C[Ins(T):R3]A	0	0	0	1	1	0	1	0	0	2	0	0	1	2	0	0	1	2	0	1	0	0	3
C[Ins(T):R3]C	0	1	1	0	0	1	2	0	1	0	0	0	1	0	1	2	0	1	1	1	1	1	0
C[Ins(T):R3]G	0	1	2	3	0	1	2	1	2	1	0	0	0	4	0	1	0	2	0	2	1	0	1
C[Ins(T):R4]A	0	0	1	0	0	0	2	1	1	3	0	0	0	1	1	1	0	0	1	2	0	0	0
C[Ins(T):R4]C	1	3	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	3	1	1	0	0	0
C[Ins(T):R4]G	0	2	1	0	1	1	1	1	0	2	0	1	0	0	0	2	1	0	1	2	0	1	0
C[Ins(T):R5]A	0	2	0	2	2	0	0	2	0	0	0	2	1	1	0	1	0	3	0	0	1	0	0
C[Ins(T):R5]C	1	2	0	4	0	2	2	2	0	2	0	1	1	0	0	6	0	2	4	1	0	1	1
C[Ins(T):R5]G	0	0	1	6	2	0	0	1	2	0	0	1	2	0	0	0	0	2	0	2	1	0	0
C[Ins(T):R6]A	1	3	1	0	0	3	2	2	2	3	2	1	5	2	1	1	0	2	5	4	2	5	3
C[Ins(T):R6]C	0	5	4	7	3	2	3	4	1	5	1	5	3	5	1	2	2	8	6	4	3	1	4
C[Ins(T):R6]G	6	3	1	4	2	0	2	2	3	9	4	7	3	1	1	1	3	8	3	3	3	4	1
C[Ins(T):R7]A	2	2	1	5	1	0	2	2	1	1	1	2	3	0	0	2	1	4	10	5	2	4	1
C[Ins(T):R7]C	0	2	2	2	2	1	0	1	1	1	3	3	2	0	2	3	2	7	6	4	4	3	5
C[Ins(T):R7]G	3	5	6	4	3	2	1	4	3	5	4	3	1	3	4	3	4	5	13	3	6	7	2
C[Ins(T):R8]A	1	6	3	6	2	2	1	5	3	7	1	1	1	3	1	3	6	5	15	2	3	8	5
C[Ins(T):R8]C	0	4	4	5	1	2	1	1	5	5	1	4	5	1	1	0	2	6	4	4	1	7	3
C[Ins(T):R8]G	1	3	2	2	4	1	7	2	3	8	6	4	4	3	1	5	6	14	12	1	4	5	3
C[Ins(T):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C[Ins(T):R(9,)]C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C[Ins(T):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(T):R0]A	1	0	0	1	0	0	0	0	0	1	2	1	0	0	0	0	0	2	0	0	0	1	0
G[Ins(T):R0]C	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
G[Ins(T):R0]G	0	0	2	1	0	1	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0	1	0
G[Ins(T):R1]A	5	0	1	2	4	1	5	1	0	4	0	3	4	2	3	3	2	1	1	3	1	2	1
G[Ins(T):R1]C	0	0	1	1	0	0	11	0	1	1	0	2	0	0	0	1	0	0	0	0	0	0	0
G[Ins(T):R1]G	1	1	0	1	0	0	0	1	2	1	2	2	3	0	0	2	1	1	0	0	2	0	0
G[Ins(T):R2]A	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	2	0	1	0	2	1
G[Ins(T):R2]C	0	0	0	1	0	1	0	0	0	0	1	2	0	0	0	1	0	0	0	0	1	0	0
G[Ins(T):R2]G	0	1	0	3	0	1	0	0	1	2	0	7	0	0	0	0	0	1	0	0	0	0	0
G[Ins(T):R3]A	0	0	1	0	1	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0
G[Ins(T):R3]C	1	0	3	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	2	0	0	0
G[Ins(T):R3]G	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	1
G[Ins(T):R4]A	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0
G[Ins(T):R4]C	0	1	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	1	0	0
G[Ins(T):R4]G	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	2	1	0	0	0
G[Ins(T):R5]A	0	0	0	2	0	0	2	0	0	0	0	2	2	2	0	0	1	1	2	1	0	3	1
G[Ins(T):R5]C	0	0	0	2	3	0	2	0	0	1	1	2	1	0	0	0	0	2	0	2	2	1	1
G[Ins(T):R5]G	0	1	1	2	1	0	1	0	2	1	1	3	2	1	1	0	1	2	1	2	0	2	0
G[Ins(T):R6]A	2	4	2	2	3	0	3	1	1	3	5	3	3	2	0	4	0	5	4	2	2	2	0
G[Ins(T):R6]C	1	3	1	7	1	1	5	2	3	4	0	4	3	2	1	5	4	7	7	6	2	7	3
G[Ins(T):R6]G	1	3	4	2	4	1	6	4	3	3	7	1	5	2	2	1	3	10	10	4	2	3	2
G[Ins(T):R7]A	3	1	2	1	1	0	3	0	3	7	5	4	5	1	2	2	2	7	5	4	3	4	4
G[Ins(T):R7]C	2	5	3	6	5	0	5	7	3	7	5	3	2	1	1	4	2	9	4	5	1	6	1
G[Ins(T):R7]G	2	2	1	4	2	1	1	1	5	3	3	5	4	2	2	4	5	6	6	7	3	5	3
G[Ins(T):R8]A	2	1	2	4	2	3	3	5	2	3	3	2	2	1	2	3	1	6	7	3	2	4	1
G[Ins(T):R8]C	0	1	2	0	4	1	3	3	4	5	4	5	4	3	1	2	1	10	8	4	3	3	1
G[Ins(T):R8]G	2	5	3	2	3	1	2	1	4	5	4	2	7	6	3	2	5	6	11	7	4	4	2
G[Ins(T):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(T):R(9,)]C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(T):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Del2:U1:R1	0	3	2	9	4	0	4	1	1	1	4	2	5	2	1	10	2	4	3	0	2	7	2
Del3:U1:R1	1	0	2	1	0	1	1	0	0	0	2	3	0	1	0	2	0	1	1	1	1	3	1
Del4:U1:R1	0	0	0	5	0	0	1	0	0	0	1	0	0	2	0	1	0	0	0	1	1	2	1
Del5:U1:R1	0	3	1	4	2	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2
Del6:U1:R1	1	0	0	4	2	0	0	0	0	0	4	0	1	0	0	1	0	0	0	0	0	2	0
Del7:U1:R1	0	1	1	6	0	0	0	1	1	0	0	0	1	0	0	4	0	0	0	1	0	1	0
Del8:U1:R1	0	1	0	6	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	2	3
Del9:U1:R1	0	0	1	2	0	0	1	0	0	0	4	1	1	0	0	2	0	0	0	0	0	3	0
Del(10,):U1:R1	3	6	4	62	4	4	2	1	2	1	64	3	2	0	2	25	0	3	0	1	1	8	18
Del2:U(2,):R1	2	7	3	18	6	2	9	0	3	1	9	11	6	4	5	10	1	3	1	3	0	3	2
Del3:U(2,):R1	4	2	1	8	4	1	6	2	0	2	8	4	3	3	0	6	0	0	0	1	0	5	0
Del4:U(2,):R1	0	3	4	14	3	1	1	0	0	1	7	0	2	1	1	5	1	4	0	0	0	7	2
Del5:U(2,):R1	1	0	0	6	1	0	2	0	0	0	6	1	1	3	1	4	1	0	0	1	1	4	0
Del6:U(2,):R1	2	1	1	4	2	1	2	0	1	0	3	1	1	0	0	2	0	0	0	0	1	4	2
Del7:U(2,):R1	0	1	1	15	2	0	1	0	0	0	8	3	0	1	0	4	0	0	0	1	0	4	1
Del8:U(2,):R1	3	1	1	12	0	0	2	0	0	1	3	2	1	0	1	3	1	3	0	0	0	5	2
Del9:U(2,):R1	0	0	1	11	1	0	0	0	0	0	6	2	0	0	2	5	0	1	1	0	0	3	4
Del(10,):U(2,):R1	9	7	7	135	10	8	8	3	1	0	142	11	5	7	2	59	2	5	9	7	6	14	32
Del2:U1:R3	4	3	5	5	3	1	4	2	0	3	10	4	9	5	3	4	0	3	2	0	0	3	3
Del2:U1:R4	1	2	1	0	2	1	0	2	1	1	2	4	1	0	0	1	0	4	2	0	1	5	2
Del2:U1:R(5,9)	1	2	2	1	1	0	3	1	0	0	2	3	2	1	1	3	1	2	0	1	0	1	0
Del2:U2:R2	7	11	5	20	8	6	6	2	5	3	12	12	23	6	2	16	1	6	12	7	6	7	8
Del2:U2:R3	4	5	9	3	3	1	3	1	6	2	5	4	4	1	0	4	1	2	3	11	1	4	0
Del2:U2:R4	6	4	10	1	8	2	2	0	8	0	1	0	0	1	1	3	0	1	1	15	0	1	0
Del2:U2:R(5,9)	4	3	4	2	2	2	1	0	8	2	1	3	2	5	1	1	1	1	3	9	1	2	0
Del3:U1:R4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Del3:U1:R(5,9)	0	0	1	1	0	0	2	0	1	0	0	1	0	0	0	1	0	1	1	1	0	0	1
Del3:U3:R2	4	2	2	11	7	5	7	7	2	7	20	15	20	7	0	7	3	10	13	9	7	11	6
Del3:U3:R3	0	2	1	0	1	2	1	0	1	0	3	3	7	0	2	6	1	2	2	1	1	1	0
Del3:U3:R4	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	2	1	1	0	2	0	0
Del3:U3:R(5,9)	0	1	1	1	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	2	1	1	0
Del4:U1:R(5,9)	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	1	1	1	0	1	0	1	0
Del4:U2:R3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0
Del4:U2:R4	1	0	1	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	1
Del4:U2:R(5,9)	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	1	0	0	0	1
Del4:U4:R2	4	2	1	4	4	1	6	1	0	3	6	5	11	0	0	6	2	6	9	3	5	5	4
Del4:U4:R3	0	2	1	3	1	0	0	2	0	1	0	1	5	0	0	1	2	1	1	1	3	2	0
Del4:U4:R4	0	1	0	0	0	0	0	0	1	1	0	0	3	0	0	0	1	0	3	0	0	1	0
Del4:U4:R(5,9)	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1
Del5:U1:R(5,9)	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Del5:U5:R2	3	0	1	1	1	1	0	0	0	1	1	1	2	1	1	3	0	0	2	0	0	2	2
Del5:U5:R3	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	1	1
Del5:U5:R4	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0
Del5:U5:R(5,9)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Del(6,):U1:R(7,9)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Del(6,):U2:R(4,9)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Del(6,):U3:R(3,9)	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Del(6,):U(4,):R(2,9)	0	1	1	7	0	3	0	0	1	1	5	3	6	0	0	8	0	2	3	3	1	3	5
Ins(2,4):M	1	0	0	5	1	0	2	1	2	1	2	1	1	1	2	4	0	1	3	4	0	3	4
Ins(5,):M	0	0	0	9	0	1	3	1	3	1	4	3	1	4	0	1	0	2	1	5	1	1	0
Ins2:U1:R0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0
Ins3:U1:R0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ins4:U1:R0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ins2:U2:R0	0	1	0	2	1	0	0	1	1	0	0	0	1	1	1	0	0	2	1	3	0	1	0
Ins3:U3:R0	0	0	1	0	1	0	2	1	0	0	0	1	0	0	0	0	0	0	0	2	1	1	0
Ins4:U2:R0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Ins4:U4:R0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
Ins(5,):R0	0	1	1	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Ins2:U1:R1	0	0	1	2	0	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	1	0
Ins2:U1:R2	1	1	1	1	1	0	3	0	1	1	1	1	2	0	0	1	0	0	0	2	0	0	1
Ins2:U1:R3	2	0	0	0	0	0	1	1	1	1	2	0	0	1	1	1	1	0	0	1	1	1	1
Ins2:U1:R4	1	0	2	0	0	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0
Ins2:U1:R(5,9)	0	0	0	3	0	0	1	1	0	0	1	0	1	1	0	1	0	1	1	2	0	1	0
Ins2:U2:R1	4	1	3	7	1	3	4	1	1	0	6	2	2	2	2	5	2	1	1	3	1	1	7
Ins2:U2:R2	4	3	2	4	1	0	1	1	0	0	2	1	1	1	0	0	0	0	0	4	2	1	1
Ins2:U2:R3	0	0	0	2	1	1	0	0	0	0	0	0	0	1	0	2	1	0	0	1	0	0	0
Ins2:U2:R4	2	1	0	4	2	0	1	1	0	2	5	1	0	1	0	1	0	3	1	2	1	1	0
Ins2:U2:R(5,9)	2	5	1	9	2	5	6	3	2	2	7	2	11	4	2	5	1	10	19	7	8	8	6
Ins3:U1:R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ins3:U1:R2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ins3:U1:R3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Ins3:U1:R4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ins3:U1:R(5,9)	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Ins3:U3:R1	2	2	3	8	2	1	3	0	0	2	3	1	7	1	2	4	0	1	0	7	2	0	6
Ins3:U3:R2	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	2	1	0	1	0	0	1	0
Ins3:U3:R3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0
Ins3:U3:R4	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1
Ins3:U3:R(5,9)	0	0	1	1	0	0	2	0	0	1	0	0	2	1	0	0	0	2	0	0	0	1	0
Ins4:U1:R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ins4:U1:R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ins4:U1:R3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ins4:U1:R4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ins4:U1:R(5,9)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ins4:U2:R1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ins4:U2:R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1
Ins4:U2:R3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ins4:U2:R4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ins4:U2:R(5,9)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Ins4:U4:R1	1	3	3	11	3	1	2	0	1	0	11	1	2	1	1	7	1	5	3	4	1	4	5
Ins4:U4:R2	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0
Ins4:U4:R3	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	1
Ins4:U4:R4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Ins4:U4:R(5,9)	1	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	2	1	2	0	0	0
Ins(5,):U1:R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ins(5,):U1:R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Ins(5,):U1:R3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ins(5,):U1:R4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ins(5,):U1:R(5,9)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Ins(5,):U2:R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ins(5,):U2:R2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ins(5,):U2:R3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ins(5,):U2:R4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ins(5,):U2:R(5,9)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ins(5,):U(3,):R1	3	11	5	84	6	8	8	1	6	2	36	4	10	6	3	35	1	7	5	17	2	10	30
Ins(5,):U(3,):R2	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1
Ins(5,):U(3,):R3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1
Ins(5,):U(3,):R4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Ins(5,):U(3,):R(5,9)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
Del2:M1	2	8	7	20	1	6	16	3	2	3	15	9	13	6	0	9	3	9	13	9	3	6	7
Del3:M1	2	3	2	11	3	2	2	2	1	2	4	3	5	2	1	8	0	1	2	1	1	11	2
Del3:M2	4	3	3	8	7	3	5	1	2	2	7	4	10	6	3	6	0	3	12	6	4	6	5
Del4:M1	2	1	2	4	1	0	1	1	0	0	10	1	0	0	1	5	1	1	1	2	4	6	1
Del4:M2	1	3	1	3	4	2	2	1	1	2	5	5	7	0	2	4	2	3	4	4	1	3	2
Del4:M3	1	2	3	6	1	4	2	3	2	3	5	5	5	3	1	7	3	3	5	2	3	0	5
Del5:M1	0	0	2	8	7	0	3	0	0	2	4	2	1	1	0	3	0	0	1	2	0	8	6
Del5:M2	1	0	0	8	2	0	2	0	1	1	5	0	2	0	1	4	1	0	1	1	0	6	2
Del5:M3	0	2	0	1	0	0	0	1	0	0	2	5	3	1	1	2	0	0	1	0	0	1	1
Del5:M4	2	0	0	4	1	0	0	1	0	2	1	1	3	1	0	1	0	0	3	0	0	2	1
Del6:M1	2	5	3	6	3	0	1	0	0	0	6	5	2	0	0	6	1	0	3	0	0	8	1
Del6:M2	0	1	0	6	1	1	2	1	0	1	4	5	0	1	0	1	0	2	0	0	0	2	3
Del6:M3	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	2
Del6:M4	0	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0
Del6:M5	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Del(7,):M1	9	18	16	180	19	11	23	3	7	6	160	18	13	13	6	90	2	12	11	5	6	22	68
Del(7,):M2	10	6	11	109	9	12	13	0	1	5	109	20	20	13	5	44	3	4	12	7	8	16	31
Del(7,):M3	3	5	6	68	7	13	8	2	3	2	57	14	7	5	3	32	0	4	8	1	4	7	22
Del(7,):M4	3	4	4	22	3	3	5	1	1	2	21	4	3	3	0	18	0	2	5	3	1	4	8
Del(7,):M5	0	1	1	8	2	3	1	0	2	1	15	3	1	0	0	7	0	0	2	0	0	3	1
Del(7,):M(6,)	2	1	4	26	1	0	3	0	3	0	36	4	3	0	1	24	0	7	3	1	2	2	18
Complex(0,1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
