MutationType	SP123975	SP124044	SP123972	SP123850	SP123902	SP123884	SP123964	SP123995	SP123846	SP124003	SP123876	SP123878	SP123842	SP123900	SP123978	SP123897	SP124013	SP124021	SP123852	SP123998	SP123967	SP123988	SP123984	SP123858	SP123890	SP123950	SP123886	SP124033	SP123892	SP123840	SP123969	SP123953	SP123955	SP123882	SP123894	SP124017	SP123856	SP123854	SP123888	SP123870	SP123958	SP123844	SP123872	SP123874	SP123836	SP43633	SP36498	SP37516	SP39997	SP35617	SP37636	SP39907	SP40736	SP42154	SP39594	SP41453	SP34452	SP42829	SP37970	SP34186	SP37903	SP35849	SP36586	SP34431	SP37432	SP35989	SP39102	SP34493	SP36036	SP35951	SP39248	SP34246	SP35412	SP39298	SP38044	SP38271	SP43201	SP34191	SP40047	SP39349	SP37369	SP38759	SP36218	SP43510	SP43770	SP43651	SP106656	SP97249	SP106638	SP97161	SP43696	SP97113	SP97124	SP43808	SP43822	SP43514	SP97258	SP97194	SP109470	SP97278	SP109544	SP97104	SP106577	SP109457	SP109478	SP43688	SP97243	SP97269	SP113926	SP106560	SP43792	SP106602	SP97145	SP43664	SP43532	SP102816	SP102795	SP103197	SP102827	SP103233	SP103507	SP103100	SP103416	SP103005	SP102759	SP102741	SP102945	SP103826	SP103706	SP102897	SP102881	SP103715	SP102929	SP103619	SP103844	SP103128	SP103300	SP103057	SP103340	SP102913	SP102783	SP103080	SP103436	SP102804	SP102957	SP102873	SP103213	SP103467	SP103261	SP103156	SP103288	SP103444	SP103685	SP103140	SP103673	SP102839	SP103245	SP103037	SP103408	SP103021	SP103679	SP103065	SP102965	SP103221	SP103547	SP102973	SP103515	SP102747	SP103730	SP103535	SP102718	SP103483	SP103428	SP102755	SP103694	SP103595	SP103396	SP102716	SP102733	SP102989	SP103603	SP102921	SP103742	SP103555	SP103523	SP103575	SP103045	SP103455	SP103856
C[Ins(T):R(8,)]A	11	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	3	1	2	1	1	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	1	7	1	0	0	1	0	0	13	2	0	3	5	0	5	0	0	5	0	0	0	0	0	0	3	1	1	4	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	100	3	0	0	0	0	0	0	0	1	0	1	3	0	0	1	2	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	2	0	0	4	2	0	1	1	1	2	0	0	0	0	1	0	0	3	0	0	0	0	1	0
C[Ins(T):R(8,)]C	14	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	1	2	0	0	1	1	0	1	0	1	1	0	0	1	2	0	1	2	0	2	1	0	0	0	0	2	0	0	1	0	0	3	0	0	1	1	0	0	0	0	0	0	4	0	9	1	0	2	2	0	0	12	0	0	1	7	1	2	0	3	2	1	1	0	2	1	0	1	1	0	6	1	0	3	3	1	0	3	0	0	1	1	0	0	0	0	112	5	0	1	0	0	1	0	0	1	4	1	2	0	0	1	2	0	1	1	0	0	0	0	0	3	2	1	0	0	0	2	1	0	1	1	0	0	0	4	3	1	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	3	0
C[Ins(T):R(8,)]G	17	0	4	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	6	0	0	1	0	1	1	0	2	1	2	0	1	4	0	0	1	0	0	1	1	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	2	1	11	3	0	2	1	0	2	13	1	0	1	2	1	2	3	1	11	0	1	0	0	0	0	1	1	0	2	0	0	7	1	0	0	3	1	1	1	3	1	1	0	1	178	2	0	3	0	0	2	1	0	0	0	1	0	1	0	0	1	0	0	2	0	0	0	0	1	1	0	1	0	0	0	1	0	0	5	0	1	2	0	4	2	1	0	0	1	0	0	0	1	1	3	0	0	6	0	0	3	1	1	0
G[Ins(T):R(8,)]A	13	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	2	0	2	0	0	3	0	1	1	1	0	1	5	0	0	0	0	1	0	1	1	0	0	1	1	1	0	0	1	1	0	0	1	0	0	0	0	4	1	0	0	0	0	2	7	2	0	2	1	0	2	0	1	4	0	1	1	0	1	0	1	1	0	3	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	125	1	0	0	0	0	1	0	0	0	2	2	3	1	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	3	1	1	0	2	1	1	0	0	0	1	0	1	2	1	0	0	0	0	0	0
G[Ins(T):R(8,)]C	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	4	1	1	6	0	0	0	3	0	1	1	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	1	0	6	1	0	0	1	1	2	4	0	0	1	2	0	1	0	0	4	0	0	0	0	0	0	1	0	0	2	1	0	1	0	0	0	0	0	1	1	0	1	1	0	0	105	2	0	0	0	0	1	0	0	2	4	2	0	2	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	2	0	1	0	0	0	0	1	1	0	2	0	1	1	0	0	0
G[Ins(T):R(8,)]G	18	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	1	0	2	1	0	1	6	0	0	0	0	1	1	1	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	1	2	6	1	0	0	1	0	0	10	0	0	2	3	0	1	3	0	8	0	3	0	0	0	1	1	0	1	1	2	1	1	2	0	1	0	0	0	1	1	2	1	0	1	149	1	0	0	0	1	2	1	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	3	5	2	0	1	0	0	0	1	1	1	0	0	1	2	2	0	1	0	0	0
Del(2,4):R1	15	4	15	5	6	4	1	11	7	2	1	4	5	6	2	5	2	2	2	4	2	12	3	1	2	7	1	2	6	5	5	0	1	7	8	3	2	4	4	2	2	3	4	5	9	0	35	26	31	29	7	25	31	29	35	20	70	31	53	47	48	6	6	25	21	8	21	13	17	48	27	42	39	72	48	35	16	27	46	25	20	33	17	38	23	41	54	38	77	57	59	38	82	31	0	38	32	99	75	41	31	12	57	11	10	44	35	45	16	22	58	26	16	72	66	29	53	34	76	36	44	20	22	13	59	22	35	15	49	60	26	30	40	7	17	28	47	46	38	37	43	42	20	63	48	17	20	11	76	46	18	29	19	43	52	40	53	14	35	33	13	47	17	56	36	41	40	10	23	54	46	19	55	103	52	28	20	18	9	32	30	27	36	1	18	18	38	42	9
Del(5,):R1	12	1	14	7	9	17	7	2	5	5	5	5	9	4	2	4	7	4	3	8	1	13	5	2	6	3	6	4	10	4	6	5	6	8	9	3	1	0	7	2	1	4	7	5	4	1	38	21	39	33	15	18	52	24	36	25	66	26	53	53	71	17	13	21	20	21	18	14	22	37	14	32	34	83	52	44	34	25	70	36	23	49	10	49	37	60	63	63	85	67	68	45	105	42	8	34	64	89	59	44	56	30	60	18	9	42	47	53	24	45	76	35	15	104	61	44	85	48	71	48	32	28	34	26	55	37	42	31	52	55	20	37	36	10	26	45	66	39	39	47	75	52	23	40	43	26	38	7	93	43	21	37	31	49	47	48	55	20	31	45	10	50	40	62	46	45	41	11	43	62	43	28	54	104	85	25	14	13	15	36	36	35	49	2	22	20	48	45	8
Del(2,8):U(1,2):R(2,4)	38	4	5	6	10	10	7	6	17	4	1	2	2	7	4	6	5	5	5	8	6	13	4	3	2	8	2	2	8	7	9	2	4	16	5	1	5	2	4	9	2	3	12	6	6	4	13	16	24	17	11	22	30	21	23	18	27	23	21	25	23	10	8	15	14	15	15	8	13	27	9	16	21	54	38	15	14	14	28	18	24	24	15	25	23	37	53	38	40	26	45	21	43	25	7	19	33	69	62	31	22	10	53	11	6	33	24	33	9	25	50	26	8	60	32	24	44	24	40	32	53	14	13	19	36	20	27	19	31	303	17	19	29	5	12	16	40	40	28	31	40	38	9	30	103	17	18	7	44	24	16	21	30	35	45	26	21	7	26	17	16	44	21	34	31	66	24	4	21	65	26	12	41	54	52	14	7	9	17	26	19	16	31	2	12	17	23	41	5
Del(2,):U(1,2):R(5,)	6	0	3	1	1	4	2	2	1	1	1	1	1	0	0	0	1	1	2	2	0	1	0	1	0	0	1	0	4	1	0	1	0	3	2	0	1	0	0	2	0	0	3	4	4	1	4	2	7	4	0	4	3	4	15	1	11	9	5	9	12	1	3	7	3	4	2	1	2	7	4	6	2	4	6	2	2	7	6	3	5	3	5	7	8	7	12	9	7	4	10	9	14	4	1	6	3	13	10	9	6	7	11	3	1	6	2	10	2	9	6	8	2	17	6	10	2	7	9	5	1	1	3	0	8	5	6	2	13	147	6	1	4	4	4	4	8	9	4	2	8	3	3	9	3	6	4	1	6	6	1	4	5	6	4	6	4	1	2	4	3	11	1	5	4	5	9	1	1	10	4	2	6	12	12	4	2	2	4	3	4	3	5	1	4	4	7	3	1
Del(3,):U(3,):R2	38	7	13	15	12	15	18	13	21	8	14	3	5	7	4	5	13	9	7	7	3	12	6	9	9	9	2	8	21	9	10	5	5	24	24	2	6	7	12	16	6	10	9	9	23	5	7	7	18	8	5	6	8	12	14	12	16	10	22	13	11	8	3	10	8	8	15	7	7	10	12	9	17	18	15	16	7	11	12	14	8	18	21	14	9	27	16	17	23	18	8	15	16	8	7	7	11	31	19	10	12	11	18	14	4	15	7	10	11	10	11	16	20	36	13	16	15	11	14	10	8	4	9	9	12	5	6	9	5	226	11	10	10	3	3	8	9	5	8	10	9	20	10	17	9	10	6	6	14	11	8	5	11	13	19	10	14	7	8	7	6	19	5	23	9	16	5	4	8	11	12	7	14	26	24	12	2	3	17	18	20	5	12	4	8	11	15	20	4
Del(3,):U(3,):R(3,)	14	1	5	3	3	7	1	4	11	9	2	1	3	2	0	2	3	2	5	1	2	5	9	3	3	6	2	4	3	6	5	4	1	6	9	0	0	3	3	6	1	2	3	4	7	2	1	2	2	5	2	2	5	0	1	0	4	4	8	6	4	1	3	3	1	2	3	5	2	5	6	2	2	5	4	6	2	3	2	0	3	1	2	2	2	7	5	2	4	4	1	2	6	3	2	1	2	7	4	7	2	3	8	6	2	3	6	3	3	4	0	4	4	8	3	2	4	3	3	3	1	1	0	1	4	5	3	3	3	116	3	1	1	2	4	2	1	2	3	2	2	3	3	7	1	3	4	0	10	1	3	0	2	3	9	7	1	2	3	2	7	7	1	1	3	7	3	0	4	1	5	1	2	5	4	7	1	0	6	3	5	3	3	1	3	1	5	2	2
Ins(2,4):R0	5	0	2	1	2	3	2	2	4	0	0	1	1	4	4	0	0	0	0	4	0	4	0	1	0	2	0	1	2	0	2	4	1	1	0	0	2	2	5	0	0	5	0	1	1	1	1	1	5	8	3	2	5	6	4	3	4	5	6	12	5	3	4	0	3	4	3	0	3	5	1	8	2	7	1	5	3	0	4	2	3	3	6	4	4	8	11	9	14	12	11	4	12	3	0	7	10	16	14	4	4	3	21	7	0	2	9	9	1	3	9	4	2	7	6	3	11	4	9	3	4	1	0	6	12	7	5	4	5	15	2	5	3	4	0	4	11	1	7	1	6	2	5	5	3	4	4	1	10	5	4	2	3	10	10	2	5	1	4	4	3	10	2	5	7	2	5	1	4	5	6	3	6	12	7	2	0	0	6	7	1	3	6	0	0	2	2	4	2
Ins(5,):R0	4	0	2	2	0	1	0	0	1	2	0	2	0	2	0	0	1	0	2	3	1	0	1	2	0	1	0	2	0	3	0	1	1	1	1	1	0	0	2	2	0	1	0	0	0	0	1	2	5	0	2	0	6	1	7	1	3	4	4	5	4	1	1	2	0	2	3	1	1	5	2	0	2	8	5	2	2	5	4	0	1	2	1	5	2	5	9	6	5	7	7	5	8	3	3	1	2	14	5	4	3	7	12	3	1	6	2	11	2	0	5	1	2	7	6	1	7	3	8	2	3	2	1	1	8	1	2	0	2	9	2	1	1	0	1	3	6	3	1	2	0	1	1	4	3	2	1	0	4	2	3	1	2	5	3	0	4	3	1	4	1	3	0	5	3	4	0	1	1	6	1	1	6	0	5	3	1	1	5	0	3	3	3	0	2	2	4	6	0
Ins(2,4):R1	5	0	1	1	1	5	3	3	3	0	1	2	3	1	4	1	0	1	3	6	3	6	1	2	0	3	1	2	2	3	5	3	1	3	5	0	3	2	0	0	3	2	3	1	4	1	10	11	9	10	6	5	13	11	10	12	28	16	34	20	20	4	3	3	6	12	14	6	3	16	10	14	6	15	13	11	8	5	9	6	8	9	6	13	7	21	19	13	17	28	21	17	35	9	3	2	21	34	24	25	12	2	35	6	2	15	18	29	7	13	14	19	4	29	23	10	35	17	22	16	10	5	6	8	19	9	12	7	20	25	8	15	14	4	6	12	23	11	12	14	29	20	8	17	16	9	8	3	27	13	5	5	13	18	21	11	12	4	10	12	5	29	8	25	16	16	19	3	4	13	14	7	27	26	30	6	6	10	8	17	5	12	12	0	4	7	10	18	3
Ins(5,):R1	3	1	3	1	1	3	1	2	1	0	2	4	0	1	1	4	0	2	1	2	3	2	0	1	2	1	0	2	4	1	1	3	2	2	4	1	0	1	4	2	1	3	4	0	1	1	6	6	7	6	4	3	5	6	7	6	10	7	19	6	7	8	9	4	2	4	7	6	7	15	2	8	9	17	11	11	6	5	9	11	6	5	7	8	5	19	18	15	12	11	12	7	15	6	3	4	10	22	11	8	7	2	15	6	3	13	6	16	3	1	12	9	5	17	12	14	21	8	10	12	3	4	1	3	16	9	4	12	9	11	11	5	6	1	2	4	7	7	7	11	9	12	5	9	6	9	3	1	17	8	5	5	6	17	16	6	11	3	1	6	6	8	6	6	7	11	13	1	12	4	6	4	15	19	12	9	5	2	10	15	3	2	12	0	5	3	13	4	1
Ins(2,):R(2,4)	3	2	5	2	1	6	4	0	2	0	2	0	2	2	2	0	1	0	3	4	0	2	0	2	0	1	0	1	4	2	7	0	0	2	3	3	3	4	0	0	3	3	1	2	3	0	17	12	9	18	4	10	20	19	13	16	20	13	14	23	30	2	2	7	10	2	7	3	5	28	10	15	9	38	14	23	10	8	14	11	6	16	3	18	13	29	27	23	25	28	38	15	35	15	7	14	19	44	37	37	26	3	28	5	3	23	15	33	5	15	25	20	3	19	28	13	25	22	18	15	5	5	8	7	30	19	8	14	18	72	8	12	15	7	9	16	26	21	16	10	17	18	9	12	13	8	11	1	33	11	7	7	16	38	24	6	10	8	10	12	8	32	12	27	8	25	17	1	10	9	11	3	20	18	32	12	6	6	5	20	9	14	8	1	11	9	12	16	3
Ins(2,):R(5,)	4	0	3	1	0	2	1	1	0	1	0	0	2	0	0	0	1	0	1	1	1	1	0	1	0	0	1	1	1	1	2	4	0	1	0	0	0	1	0	0	1	4	2	0	3	0	2	3	3	5	0	2	8	1	4	3	3	1	4	4	3	1	6	2	2	0	2	2	3	4	4	0	3	4	4	3	3	1	2	1	1	2	0	3	1	3	4	5	3	6	6	3	3	3	3	3	3	12	4	3	5	1	6	9	0	4	0	4	1	3	2	3	1	13	3	3	3	5	1	1	1	2	2	0	5	0	1	1	0	239	4	4	1	2	1	3	3	2	0	1	1	2	0	1	0	0	2	1	4	1	1	4	2	4	2	1	10	0	0	1	1	4	0	4	0	3	3	0	1	1	1	3	2	2	7	0	0	0	2	0	2	0	5	0	3	3	3	4	1
Del(2,5):M1	20	3	10	7	11	10	7	6	10	2	4	3	3	6	0	6	4	4	8	7	6	13	4	7	1	9	4	7	5	6	5	2	5	11	7	3	4	7	3	5	0	5	9	2	7	2	28	25	24	27	14	14	27	32	28	24	45	26	35	38	35	7	8	16	16	18	15	11	18	27	12	37	27	75	49	25	15	14	36	24	9	21	14	37	19	51	64	54	64	41	54	19	52	31	7	19	37	86	57	30	32	14	59	8	7	25	31	40	6	25	37	29	19	72	43	23	41	28	62	40	41	26	25	18	53	18	20	25	44	82	16	25	27	13	12	22	39	43	21	31	47	51	17	36	61	22	16	6	52	39	21	19	27	46	47	23	27	17	33	26	18	42	19	50	30	49	30	8	39	55	28	9	44	75	64	19	11	17	22	28	28	18	32	1	18	25	25	35	5
Del(3,5):M2	30	5	12	5	6	5	3	7	12	4	7	4	7	4	1	4	9	3	7	1	4	7	3	4	5	7	3	2	8	6	5	4	3	15	13	2	3	8	3	4	2	1	7	4	11	0	7	11	11	8	9	9	15	10	11	3	24	10	19	15	15	6	10	6	11	7	9	8	9	17	9	18	11	20	15	14	10	5	14	17	12	15	6	16	14	29	20	18	30	23	22	15	16	15	2	15	18	33	30	12	16	10	25	9	4	18	14	21	3	8	23	11	9	34	21	9	15	15	23	21	9	9	9	7	23	12	11	10	18	149	14	9	20	5	4	15	14	15	14	13	23	13	9	18	12	5	10	4	21	20	5	9	11	20	20	16	13	5	11	12	10	16	9	15	8	9	18	5	14	21	16	10	17	33	35	10	4	7	9	17	15	14	16	2	7	14	15	22	4
Del(4,5):M(3,4)	17	1	12	10	5	7	5	10	7	5	5	3	1	2	0	4	11	4	5	2	5	4	5	8	9	5	1	10	2	6	4	2	1	16	14	2	3	6	5	7	3	6	3	2	10	1	3	3	8	6	2	8	6	5	4	6	13	7	5	12	4	6	4	3	6	3	6	4	7	1	3	3	7	18	8	11	6	1	7	3	1	8	6	6	6	12	8	7	7	16	7	9	5	11	2	7	5	10	9	9	4	15	11	3	4	3	6	15	9	3	8	15	5	16	6	7	12	9	15	9	3	1	6	2	14	6	8	3	4	49	3	7	4	1	4	4	4	5	2	7	5	9	7	8	6	4	4	1	14	9	2	2	6	8	13	9	13	2	3	5	2	6	7	9	8	14	9	1	5	2	4	3	6	5	15	4	3	1	5	7	5	4	11	1	4	3	3	13	1
Del(6,):M1	4	1	10	5	5	5	7	5	3	1	3	3	4	2	4	2	2	1	0	5	1	11	2	1	4	1	2	1	9	1	5	5	8	4	0	1	5	3	4	3	3	4	4	2	4	5	18	20	24	21	14	9	27	16	34	25	53	27	29	34	41	9	8	10	18	16	7	14	15	20	14	28	34	57	41	40	38	15	35	23	17	20	12	39	24	42	41	37	62	46	40	35	64	20	8	31	32	82	51	30	24	39	44	8	8	37	28	49	17	30	49	23	12	61	30	26	68	37	48	25	17	18	14	21	60	40	33	29	39	28	18	19	29	5	13	23	39	26	23	27	38	39	12	25	21	18	23	4	54	25	10	17	24	41	35	24	36	11	12	17	9	33	18	48	42	30	26	10	32	40	35	9	39	78	49	22	15	11	12	37	37	16	28	4	18	24	23	39	4
Del(6,):M2	6	0	14	3	3	3	0	4	4	3	0	1	3	6	0	1	1	1	3	4	1	8	1	3	3	3	0	1	1	2	2	1	7	0	2	0	3	1	5	1	0	2	2	2	2	1	22	16	14	8	6	11	24	16	11	12	30	8	29	16	29	6	4	12	14	10	12	10	14	20	3	13	19	37	17	13	18	7	18	10	9	16	7	22	13	24	18	34	26	31	28	14	45	12	3	19	28	42	25	25	19	46	29	4	4	12	15	25	9	12	33	13	8	50	22	23	27	19	33	17	10	4	9	10	25	15	17	17	25	18	11	8	18	2	12	19	23	20	16	17	26	24	7	22	18	10	8	4	34	20	6	9	9	21	25	11	22	4	12	17	16	19	11	18	19	17	20	5	17	28	17	3	22	51	29	18	10	5	8	17	12	17	21	1	14	15	18	22	3
Del(6,):M3	5	0	16	2	1	4	0	1	2	1	2	0	1	0	2	1	4	0	1	3	4	6	4	2	0	3	0	1	3	1	2	2	4	1	0	1	1	2	0	0	1	0	1	0	1	1	6	3	5	9	4	8	11	14	9	5	15	10	17	11	5	2	2	3	5	3	3	3	6	9	5	5	14	6	3	8	5	4	15	5	4	9	5	10	7	11	13	8	20	8	10	8	21	10	4	4	6	30	12	8	13	42	20	6	4	11	7	6	6	7	8	7	4	12	6	4	19	7	16	9	4	9	6	5	9	5	5	5	11	12	8	5	7	2	5	18	9	8	11	9	16	13	6	14	5	7	5	4	16	3	4	10	9	10	15	6	10	1	1	12	4	9	8	14	14	7	12	0	9	17	6	10	9	28	15	5	2	2	3	9	3	8	10	2	4	6	7	6	1
Del(6,):M(4,)	1	1	15	3	1	2	3	4	2	1	1	0	1	0	2	0	0	1	0	4	1	5	1	1	3	3	0	0	3	1	5	3	1	3	3	0	0	1	0	0	1	2	1	2	5	1	7	3	5	6	5	2	1	7	5	7	12	7	12	7	8	3	4	4	5	6	2	1	4	4	4	5	11	11	10	11	4	3	15	10	5	9	3	2	4	8	11	8	11	5	10	7	14	2	4	1	2	28	12	4	9	41	17	5	2	10	8	15	3	9	10	5	1	18	8	11	12	4	13	4	5	3	2	2	16	2	4	3	11	12	6	6	10	1	3	10	12	4	4	8	3	9	5	4	5	5	9	1	10	6	3	5	3	10	6	1	7	5	2	4	2	2	4	11	9	7	8	2	5	7	4	3	10	18	10	5	1	2	5	10	3	2	10	0	4	9	9	13	0
Complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
