MutationType	SP99325	SP18310	SP17172	SP96133	SP110242	SP21017	SP22383	SP81312	SP19215	SP16886	SP17905	SP18121	SP96118	SP21400	SP18946	SP80615	SP102897	SP98845	SP107012	SP55142	SP53810	SP116697	SP102133	SP125732	SP125746	SP125770	SP77956	SP124384	SP135287	SP85122	SP84384	SP84982	SP84392	SP84439	SP95454	SP94741	SP90209	SP90989	SP93540	SP93227	SP94348	SP94933	SP92364	SP94917	SP92460	SP89909
C[Del(T):R7]C	2246	2296	657	1420	1891	2196	1770	110	1654	24	147	1437	225	65	201	78	182	170	520	14	6	136	63	191	610	166	1	273	1479	1621	2753	1314	1937	2165	382	730	1396	816	1402	1473	649	426	814	253	156	211
C[Del(T):R7]G	2364	3423	850	1911	2586	1976	1629	51	1907	25	168	1982	324	40	136	54	208	154	484	10	2	34	59	193	1011	174	0	403	1535	2452	2170	1040	2433	2360	478	1014	1792	1037	2215	1791	907	574	942	269	235	287
C[Del(T):R8]A	3397	4607	1178	2405	3585	3451	2197	188	1907	30	114	2757	109	98	219	105	344	161	826	8	0	52	122	139	1646	196	3	570	2101	3047	2379	1481	3183	2774	746	1660	2114	1545	3203	1866	1494	1011	1403	446	307	327
C[Del(T):R8]C	3126	3627	1007	1938	2995	3534	2395	90	1694	10	48	2103	83	29	95	57	248	219	758	2	1	95	102	183	1142	175	2	419	1995	2461	3315	1975	2889	2540	591	1153	1284	1333	2206	1228	1133	765	1171	363	236	204
C[Del(T):R8]G	3788	5161	1370	2715	4018	3411	2268	27	2249	7	36	2908	166	24	78	28	325	246	761	3	1	26	114	199	1645	207	1	641	1998	3569	2560	1521	3442	2567	831	1919	1605	1940	3812	1318	1678	999	1595	451	339	414
C[Del(T):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C[Del(T):R(9,)]C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C[Del(T):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(T):R1]A	9	3	2	10	12	17	1	0	1	1	1	2	2	13	2	2	2	1	3	22	30	6	2	0	0	3	1	2	2	0	0	2	4	3	0	2	1	2	1	2	2	1	2	2	2	0
G[Del(T):R1]C	3	2	3	7	4	4	8	3	1	2	4	4	0	1	1	8	6	1	0	10	11	7	4	0	1	5	0	3	3	4	5	9	6	2	0	0	2	1	0	2	0	1	3	0	1	0
G[Del(T):R1]G	29	10	2	33	38	52	8	3	10	1	0	5	1	37	0	5	4	4	0	16	17	5	1	0	9	7	1	3	8	10	18	5	11	17	3	3	5	4	5	10	6	3	6	1	1	3
G[Del(T):R2]A	16	8	8	9	13	7	10	3	5	1	4	5	0	0	4	28	5	8	4	12	11	9	1	4	3	1	0	59	3	6	11	18	12	22	0	6	12	0	0	21	4	1	2	2	1	1
G[Del(T):R2]C	10	6	0	2	11	3	5	1	3	0	3	5	1	0	2	10	4	2	8	5	4	8	4	2	1	3	0	4	3	2	11	7	11	14	2	2	7	2	4	7	4	2	4	1	2	0
G[Del(T):R2]G	15	6	4	5	7	8	10	1	5	2	0	5	2	0	0	9	3	5	3	16	19	4	1	2	4	2	0	3	2	6	10	14	11	20	0	5	3	2	2	6	1	1	2	1	1	1
G[Del(T):R3]A	43	20	5	18	32	33	34	12	28	9	91	27	4	7	40	27	7	7	14	14	8	12	3	2	12	6	0	9	12	18	37	22	31	73	4	9	137	6	11	347	5	6	20	7	6	7
G[Del(T):R3]C	65	29	10	15	39	47	49	27	36	3	75	25	5	15	29	25	8	15	11	12	6	9	2	5	12	6	0	18	14	21	71	41	28	73	9	20	228	13	6	448	6	3	23	2	5	4
G[Del(T):R3]G	41	29	9	23	49	40	40	8	31	3	51	32	7	6	16	12	11	6	12	15	8	8	5	2	8	8	0	9	15	23	49	28	31	88	5	7	71	4	13	259	13	4	15	7	8	1
G[Del(T):R4]A	203	190	29	149	172	207	207	26	145	11	122	121	32	19	65	45	22	24	63	22	5	15	11	11	52	21	0	28	114	127	273	146	184	259	35	54	1035	65	93	1303	39	23	68	31	14	12
G[Del(T):R4]C	176	150	44	113	157	200	219	31	196	6	71	138	19	17	27	22	19	30	39	16	3	10	6	30	45	20	0	15	115	125	219	121	171	218	26	49	535	65	72	671	45	22	54	18	17	11
G[Del(T):R4]G	181	142	34	127	169	200	185	10	165	4	47	136	19	11	18	24	19	27	40	25	10	14	5	20	40	21	0	22	98	98	206	117	154	209	17	64	458	73	80	633	51	37	63	18	19	22
G[Del(T):R5]A	545	410	110	420	489	552	536	37	452	17	147	414	95	35	83	50	34	55	113	14	3	34	9	55	174	43	2	82	379	420	652	320	513	715	91	157	1810	142	231	2005	130	82	209	56	51	38
G[Del(T):R5]C	344	279	88	237	305	409	378	30	354	8	61	312	50	20	43	33	21	55	91	15	3	31	15	51	101	35	2	54	240	202	439	278	342	470	53	82	518	132	152	619	75	70	117	44	33	32
G[Del(T):R5]G	404	453	142	367	448	472	318	24	362	4	54	332	75	10	39	28	32	45	88	13	6	24	16	50	153	44	2	91	265	318	408	207	462	478	66	139	724	148	280	811	120	106	169	50	32	47
G[Del(T):R6]A	716	743	181	614	715	794	783	38	641	7	80	641	132	20	73	44	59	63	169	5	5	33	10	98	251	65	1	119	647	690	906	509	788	1002	156	234	1424	268	432	1382	250	114	277	91	76	61
G[Del(T):R6]C	391	365	148	266	384	376	405	31	363	10	60	276	52	17	40	27	32	50	98	6	2	24	18	55	121	50	0	51	269	295	563	259	388	476	58	122	579	140	215	542	109	98	141	50	36	45
G[Del(T):R6]G	410	372	112	289	386	414	392	27	331	12	56	283	60	20	51	31	25	52	97	11	1	20	10	38	144	50	0	69	284	307	549	238	375	444	76	104	921	134	201	953	123	66	155	42	44	40
G[Del(T):R7]A	1297	1309	393	895	1169	1225	1112	64	990	11	79	865	127	32	96	49	95	115	262	5	0	43	31	101	435	107	0	162	874	1003	1611	805	1233	1273	251	368	1030	438	789	1014	383	224	410	136	109	76
G[Del(T):R7]C	1250	1157	397	675	925	1032	962	52	809	12	66	733	113	19	74	32	102	105	305	6	2	53	46	123	349	99	0	179	718	789	1573	719	1058	1174	184	368	807	420	698	796	407	289	427	119	87	101
G[Del(T):R7]G	1176	1349	370	831	1098	1134	990	23	908	11	58	767	123	25	61	28	78	155	265	5	1	23	25	121	450	79	2	187	746	981	1449	666	1172	1142	249	401	1122	505	852	1216	420	228	410	124	102	99
G[Del(T):R8]A	1860	1919	603	1104	1625	1917	1486	116	1123	17	60	1154	46	54	131	55	153	130	462	3	1	33	71	103	701	115	3	240	1167	1614	1771	1110	1715	1605	355	653	1034	849	1341	1069	665	404	670	204	148	145
G[Del(T):R8]C	1326	1294	488	716	1120	1281	949	42	747	11	35	784	41	19	59	30	98	105	288	2	0	50	46	97	407	100	1	180	789	985	1384	810	1137	1022	236	458	598	560	831	626	429	345	505	125	85	100
G[Del(T):R8]G	1471	1675	534	844	1470	1415	986	26	903	2	25	949	38	15	35	15	112	126	333	0	0	16	43	66	560	88	1	196	765	1249	1296	720	1324	1020	302	621	715	670	1152	665	543	326	566	142	130	121
G[Del(T):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(T):R(9,)]C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(T):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R0]A	136	23	56	52	29	36	15	388	14	430	543	98	0	273	212	935	1	1	0	7	4	11	16	3	9	4	1	10	10	22	22	52	28	220	5	7	9	9	13	14	8	24	25	13	1	1
A[Ins(C):R0]G	18	2	4	1	0	0	0	4	1	3	3	12	0	2	1	5	0	0	0	1	3	0	0	0	0	0	1	2	0	0	1	3	0	28	0	0	0	0	0	1	0	0	0	1	0	0
A[Ins(C):R0]T	45	3	16	15	5	4	1	8	6	15	33	40	0	7	20	141	1	1	0	5	6	0	0	0	0	5	0	1	0	1	2	18	9	82	0	0	0	1	0	6	0	4	1	4	0	0
A[Ins(C):R1]A	6	2	3	1	6	7	1	5	1	2	8	5	0	7	2	20	2	1	3	2	5	3	6	1	2	2	224	1	4	8	2	2	0	12	0	3	6	1	3	2	1	16	5	1	2	0
A[Ins(C):R1]G	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	33	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R1]T	6	4	2	1	1	1	1	0	1	4	9	6	0	5	2	9	2	0	0	4	2	0	2	0	1	6	199	3	1	3	1	0	3	15	1	2	4	1	1	3	1	4	1	1	1	1
A[Ins(C):R2]A	8	0	2	1	4	2	1	0	1	0	3	1	0	0	2	5	2	0	2	0	4	0	1	0	2	4	86	1	3	1	2	3	3	2	0	2	1	0	2	5	0	3	3	1	1	0
A[Ins(C):R2]G	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	8	0	0	1	1	0	1	0	0	0	1	0	0	2	0	3	0	0	0	0
A[Ins(C):R2]T	3	2	1	0	4	3	3	0	1	1	3	3	0	0	2	5	1	1	4	0	2	0	2	0	0	0	103	1	1	2	2	0	4	3	1	1	1	0	1	0	0	5	1	1	1	0
A[Ins(C):R3]A	13	8	3	5	7	7	9	2	5	2	3	7	2	2	0	0	3	2	6	1	4	2	5	4	5	7	26	4	4	7	15	6	11	9	5	6	7	3	4	4	7	12	4	1	1	2
A[Ins(C):R3]G	8	2	0	4	7	4	2	0	1	0	0	3	0	0	0	0	1	2	1	0	3	0	2	0	2	1	6	0	2	4	7	2	3	5	1	1	0	1	3	1	4	1	3	1	0	1
A[Ins(C):R3]T	9	6	2	10	13	6	3	0	1	1	2	4	0	0	0	2	1	3	2	0	4	2	7	0	6	1	29	2	2	2	11	5	5	10	0	4	2	2	4	2	5	15	3	0	1	0
A[Ins(C):R4]A	42	49	13	40	36	32	40	2	37	4	9	28	5	2	4	10	8	10	11	5	8	6	20	6	18	18	12	10	28	46	72	24	39	35	10	17	17	17	19	17	18	70	23	1	10	8
A[Ins(C):R4]G	57	15	1	10	23	12	19	1	6	0	0	19	1	0	1	1	4	9	14	0	0	1	9	0	11	8	1	6	7	16	37	8	15	18	5	6	6	2	8	10	6	22	9	2	8	2
A[Ins(C):R4]T	28	13	1	7	14	12	7	3	18	2	8	18	5	2	3	4	2	8	7	3	4	3	12	4	7	5	11	2	9	17	23	8	17	10	6	7	9	7	12	9	10	19	9	2	2	3
A[Ins(C):R5]A	49	36	9	19	37	35	23	5	28	4	11	25	4	6	2	9	14	4	15	4	3	2	25	6	11	23	6	8	34	44	52	24	37	33	10	19	27	12	28	31	21	66	27	6	7	13
A[Ins(C):R5]G	14	13	5	2	6	2	4	0	5	0	1	7	1	0	0	1	1	0	3	1	2	1	5	0	5	4	0	0	2	8	20	2	8	9	0	1	3	2	5	4	4	8	7	2	1	1
A[Ins(C):R5]T	39	17	3	10	37	19	16	1	19	1	6	15	3	0	1	3	2	2	9	1	1	5	15	2	10	20	1	3	9	26	30	6	16	30	9	13	11	10	19	26	15	33	16	6	2	4
A[Ins(C):R6]A	49	41	16	28	69	46	34	4	37	2	4	30	1	2	5	6	7	6	10	0	1	7	45	10	19	34	1	7	31	64	59	21	62	64	10	16	44	18	30	55	20	72	33	12	9	4
A[Ins(C):R6]G	13	13	3	8	22	12	11	1	7	1	0	11	2	0	0	0	2	1	4	0	1	0	9	4	10	10	0	1	7	12	22	7	10	17	2	8	6	5	7	7	6	27	12	1	1	3
A[Ins(C):R6]T	31	33	5	10	44	17	9	2	27	1	2	24	5	2	2	7	4	4	2	3	1	4	13	1	10	22	0	5	19	17	18	13	29	31	6	8	17	9	21	34	10	35	26	3	6	1
A[Ins(C):R7]A	118	121	52	74	178	145	99	3	74	3	3	92	8	3	8	11	13	21	18	2	2	29	93	10	54	87	0	24	85	153	149	80	137	122	42	56	83	65	79	58	52	206	104	21	17	20
A[Ins(C):R7]G	27	32	15	18	37	39	16	0	16	0	0	17	0	1	0	4	3	4	13	0	0	4	27	3	15	15	0	12	13	28	28	18	44	26	11	13	21	6	13	14	16	37	26	5	6	6
A[Ins(C):R7]T	37	45	23	15	36	33	31	1	18	1	1	27	1	2	5	1	5	3	9	0	1	3	18	6	20	21	0	6	19	44	48	17	34	28	11	16	24	14	25	18	15	61	25	8	5	1
A[Ins(C):R8]A	48	46	28	27	62	88	26	2	26	0	1	39	2	1	4	2	5	9	15	0	0	9	50	5	27	19	0	21	28	73	51	35	51	47	15	44	26	37	25	21	33	74	57	14	8	2
A[Ins(C):R8]G	4	1	1	4	10	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	3	1	0	2	1	2	6	0	4	2	2	1	1	4	1	1	3	7	4	0	0	1
A[Ins(C):R8]T	9	12	4	7	16	21	8	0	7	0	0	8	1	1	1	0	2	4	1	0	0	0	9	1	7	5	0	3	6	10	15	7	14	6	10	10	9	9	4	7	5	12	19	2	2	3
A[Ins(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(C):R0]A	1	0	0	1	0	0	0	3	0	2	11	0	0	6	3	8	0	0	1	2	1	1	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0
G[Ins(C):R0]G	1	0	0	1	1	2	1	0	1	0	0	1	0	0	0	0	0	0	0	4	2	0	2	0	2	0	0	0	1	4	1	1	1	2	0	0	0	1	0	1	0	2	2	0	1	0
G[Ins(C):R0]T	2	0	1	1	0	0	1	7	0	7	22	0	0	9	7	19	0	0	0	3	8	0	0	0	0	1	0	3	0	0	2	0	1	2	0	1	4	1	0	6	0	0	1	0	0	0
G[Ins(C):R1]A	2	0	0	3	5	1	2	1	1	0	2	1	0	0	0	1	3	1	2	1	3	3	1	0	0	1	138	3	1	0	0	2	2	2	0	3	2	0	1	2	0	5	1	1	0	0
G[Ins(C):R1]G	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	21	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0
G[Ins(C):R1]T	2	0	0	2	1	2	3	0	0	0	1	1	0	2	0	2	0	2	1	3	3	1	2	0	2	2	211	2	0	4	4	0	3	2	0	2	1	1	2	1	1	4	2	0	2	0
G[Ins(C):R2]A	3	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	3	0	2	0	2	0	1	0	0	0	72	1	0	0	0	1	3	0	0	1	3	1	4	0	1	0	2	0	0	0
G[Ins(C):R2]G	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	1	0	11	0	1	1	1	1	0	2	0	1	0	0	0	0	3	1	0	0	0	0
G[Ins(C):R2]T	5	1	2	0	4	2	2	0	1	0	2	2	0	0	0	0	0	0	2	2	3	1	2	0	3	1	97	1	1	3	4	0	2	1	0	1	2	0	1	4	2	4	1	1	0	0
G[Ins(C):R3]A	16	9	2	4	9	9	7	1	10	1	4	3	0	0	0	0	1	4	4	4	0	1	4	1	3	2	19	3	3	7	6	4	6	3	1	3	1	1	2	6	4	13	5	2	0	0
G[Ins(C):R3]G	12	10	1	3	2	4	3	0	5	0	0	10	2	0	0	0	1	6	4	3	4	0	3	0	2	1	4	0	2	2	11	7	2	7	1	0	1	0	1	2	3	9	2	0	1	0
G[Ins(C):R3]T	9	5	1	1	10	2	3	0	3	1	2	5	3	0	0	0	2	4	2	1	1	0	6	0	2	2	27	3	2	3	12	3	11	4	2	5	1	0	1	5	2	12	2	0	3	1
G[Ins(C):R4]A	35	51	15	41	49	37	29	0	32	1	3	24	6	2	1	7	3	7	9	2	3	5	31	4	12	20	15	11	35	41	65	15	42	44	12	17	14	16	36	16	21	72	36	2	8	7
G[Ins(C):R4]G	10	10	0	2	10	7	3	0	1	0	0	7	0	0	0	0	0	2	5	0	3	0	3	1	2	5	2	3	3	9	9	3	10	10	2	3	2	3	5	2	4	14	4	0	1	0
G[Ins(C):R4]T	22	21	6	12	17	21	14	1	20	0	2	18	5	0	2	4	5	3	4	4	4	1	12	3	11	18	10	3	12	17	27	5	26	28	4	4	10	5	17	17	10	29	18	5	2	5
G[Ins(C):R5]A	41	29	4	25	33	28	19	3	21	4	12	18	2	2	2	9	2	3	11	3	6	2	16	4	17	30	2	8	13	25	31	6	33	56	13	15	16	5	18	39	8	54	23	3	7	7
G[Ins(C):R5]G	21	13	0	4	10	8	3	0	4	0	0	7	1	0	0	0	0	2	1	0	1	2	6	0	2	8	0	5	5	10	12	2	9	15	4	4	5	2	3	4	3	15	4	2	1	3
G[Ins(C):R5]T	49	55	5	17	79	32	28	0	23	2	6	34	3	0	0	5	7	4	9	2	2	8	23	2	29	49	3	18	14	38	26	7	44	53	11	22	24	8	23	28	9	57	28	7	5	9
G[Ins(C):R6]A	94	78	16	51	107	71	47	3	49	5	6	69	9	5	8	16	7	7	17	1	1	8	34	7	47	72	0	11	38	73	84	28	67	97	16	41	64	26	62	65	23	105	59	14	16	13
G[Ins(C):R6]G	32	49	6	11	54	28	9	0	22	0	0	32	3	0	2	3	4	5	8	1	0	5	32	0	20	41	0	15	10	34	30	14	40	37	6	15	20	10	19	12	14	60	26	6	3	0
G[Ins(C):R6]T	58	61	8	27	80	41	24	0	33	2	3	33	9	3	4	6	15	3	12	0	0	6	36	3	19	59	0	11	21	51	40	18	55	55	18	33	45	14	46	47	23	89	34	10	6	5
G[Ins(C):R7]A	132	111	40	70	173	122	55	2	56	1	3	109	5	6	2	7	12	13	32	0	0	15	77	6	72	83	0	23	72	123	133	66	137	106	33	78	76	60	76	75	47	179	98	20	22	16
G[Ins(C):R7]G	38	32	22	18	65	55	15	0	18	0	2	22	1	0	2	2	6	4	5	0	0	2	32	2	24	32	0	4	13	53	33	24	46	45	14	25	23	9	24	20	17	53	29	2	5	4
G[Ins(C):R7]T	41	40	13	17	68	39	21	2	22	1	2	25	2	3	2	4	4	2	4	1	0	6	31	2	21	27	0	7	23	43	40	15	51	33	14	18	35	21	30	36	18	57	38	7	10	4
G[Ins(C):R8]A	57	53	31	31	83	78	30	2	12	1	2	41	2	1	1	3	7	13	11	0	0	4	42	1	24	31	0	16	7	61	28	32	58	32	26	46	36	32	40	25	31	81	60	9	6	6
G[Ins(C):R8]G	3	4	2	5	15	11	2	0	2	0	0	3	0	0	0	0	1	0	1	0	0	1	9	1	5	3	0	3	0	12	9	3	14	8	2	10	7	5	6	3	4	9	8	0	1	0
G[Ins(C):R8]T	15	9	8	5	22	20	6	0	2	2	0	8	1	0	0	0	1	0	4	0	0	0	19	0	6	2	0	1	4	18	13	12	15	12	7	13	10	6	14	4	10	29	11	3	6	0
G[Ins(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Ins(C):R0]A	5	2	2	2	2	0	1	0	0	2	2	1	0	0	0	9	0	0	1	2	1	1	0	0	0	0	0	1	0	0	0	2	2	3	0	1	0	0	1	1	0	2	1	0	0	0
T[Ins(C):R0]G	2	1	0	0	0	1	1	0	1	0	2	0	0	0	0	1	1	2	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
T[Ins(C):R0]T	67	56	86	50	66	72	30	9	17	28	55	44	1	15	28	68	7	8	25	6	3	10	78	9	49	31	1	30	21	35	24	15	23	28	7	40	29	32	45	17	34	217	97	11	8	5
T[Ins(C):R1]A	9	4	2	3	5	1	3	1	0	1	1	3	0	0	2	4	2	1	0	0	1	3	1	0	0	4	169	5	1	2	1	6	6	3	0	4	2	2	4	3	2	6	3	0	1	1
T[Ins(C):R1]G	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	24	1	0	0	1	0	1	0	0	2	0	0	0	1	0	2	2	0	0	0
T[Ins(C):R1]T	15	4	1	4	8	4	3	6	3	3	8	11	0	3	5	8	2	1	2	4	3	5	5	1	2	10	210	5	0	7	0	4	3	12	0	0	6	2	3	3	2	16	6	1	2	2
T[Ins(C):R2]A	7	1	1	1	6	1	6	0	0	0	6	4	0	0	1	3	2	0	1	2	4	3	1	0	5	2	106	1	1	3	2	1	1	0	0	2	2	1	3	5	1	10	4	0	1	0
T[Ins(C):R2]G	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	0	1	0	0	0	12	0	0	1	2	1	1	2	0	2	0	0	0	0	0	3	0	0	0	0
T[Ins(C):R2]T	14	1	1	4	4	4	2	1	6	4	8	4	0	5	7	7	4	4	1	2	3	0	3	1	0	7	131	2	1	3	5	1	6	7	1	3	7	0	2	11	1	11	3	4	0	1
T[Ins(C):R3]A	21	6	0	10	14	6	13	0	7	2	4	8	1	1	2	2	1	4	5	5	4	1	4	0	5	2	50	2	7	4	11	3	15	2	0	1	9	3	3	13	2	14	5	1	1	1
T[Ins(C):R3]G	11	1	0	2	5	2	6	0	0	0	0	7	0	0	0	0	0	1	1	1	1	0	0	0	2	2	7	1	2	4	5	1	5	4	1	1	2	2	3	2	1	8	0	1	0	0
T[Ins(C):R3]T	20	6	1	3	10	3	7	3	10	5	10	7	1	2	3	9	0	1	8	5	5	4	9	0	4	4	57	2	3	3	9	4	9	10	1	7	14	2	7	16	3	17	6	0	1	3
T[Ins(C):R4]A	76	99	50	104	122	122	81	5	99	1	4	85	24	5	3	4	11	12	25	8	10	7	80	16	41	50	12	30	95	141	160	51	116	86	23	47	37	48	72	42	50	175	94	9	11	8
T[Ins(C):R4]G	19	2	1	3	4	1	8	0	8	0	0	8	1	0	1	2	0	2	1	0	1	0	5	0	6	3	3	0	6	6	12	2	9	13	2	0	4	2	5	6	3	8	4	1	2	3
T[Ins(C):R4]T	49	66	29	53	60	69	44	0	60	1	10	33	7	3	3	6	6	5	13	5	5	2	34	16	17	33	14	16	46	54	83	34	60	56	12	28	26	19	37	26	24	84	40	8	6	7
T[Ins(C):R5]A	50	51	5	25	53	38	34	3	38	2	13	30	4	3	7	3	7	4	8	7	4	8	31	3	13	28	6	7	27	29	49	17	38	44	9	16	34	13	24	38	16	77	32	8	6	5
T[Ins(C):R5]G	9	10	2	3	7	8	6	0	5	0	1	4	1	1	1	1	1	1	5	0	1	1	8	0	1	9	0	5	7	6	6	1	8	14	3	4	5	3	5	4	3	11	6	1	3	3
T[Ins(C):R5]T	58	66	14	38	81	33	25	4	34	4	8	34	2	0	2	5	5	6	12	2	3	14	38	7	22	40	4	12	24	45	66	13	55	70	13	22	33	18	39	36	17	78	42	7	12	3
T[Ins(C):R6]A	69	67	22	37	70	58	35	1	51	4	9	44	11	6	8	8	9	4	15	5	3	10	45	10	25	51	1	20	42	68	64	28	68	85	17	36	55	17	39	62	32	102	47	9	12	5
T[Ins(C):R6]G	34	21	2	14	30	17	13	0	9	0	0	12	1	0	0	1	4	3	4	1	0	2	11	1	13	19	0	2	8	23	15	9	23	23	7	13	13	7	9	10	10	25	12	4	2	2
T[Ins(C):R6]T	35	34	13	24	52	21	16	0	27	3	3	25	5	4	2	4	3	3	14	1	2	8	20	3	17	33	0	6	19	40	35	18	21	46	8	21	44	15	29	42	10	51	30	4	5	5
T[Ins(C):R7]A	121	110	44	90	162	115	70	6	84	1	3	69	8	2	5	13	6	18	24	2	0	26	90	11	41	74	0	27	66	108	124	69	112	103	35	57	82	52	79	63	53	139	103	27	19	10
T[Ins(C):R7]G	40	34	7	18	36	45	18	1	9	0	1	18	1	0	0	3	5	2	4	1	0	2	19	1	20	22	0	7	15	30	33	17	32	23	10	16	15	8	19	19	9	43	18	3	6	0
T[Ins(C):R7]T	44	51	14	31	57	43	23	1	31	1	1	25	0	1	4	5	3	4	15	1	0	6	24	5	17	27	0	6	26	51	41	21	30	39	24	25	33	17	26	26	18	57	31	10	9	10
T[Ins(C):R8]A	46	38	22	31	55	53	41	1	30	0	1	38	5	2	1	4	4	8	17	0	0	4	38	2	26	30	0	14	25	42	35	29	45	36	12	38	37	34	39	28	26	91	51	9	12	6
T[Ins(C):R8]G	3	5	4	5	6	7	3	0	1	0	0	2	1	0	0	0	0	1	3	0	0	0	4	0	2	6	0	2	4	12	3	4	9	3	1	5	3	2	1	2	2	14	5	0	2	2
T[Ins(C):R8]T	16	12	4	5	13	12	9	0	6	0	0	8	1	2	1	0	0	2	3	0	0	3	20	1	8	7	0	2	2	20	13	5	10	5	8	3	14	7	12	6	10	22	9	5	3	1
T[Ins(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Ins(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Ins(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(T):R0]A	53	48	34	37	52	46	18	20	20	44	120	35	2	33	47	87	7	2	17	9	10	13	38	5	25	21	1	15	20	25	14	6	23	30	9	31	63	18	41	68	29	87	47	9	3	3
A[Ins(T):R0]C	4	1	0	2	2	0	2	1	0	1	4	0	0	2	1	2	3	0	1	6	13	2	1	0	0	3	0	0	1	2	2	1	0	1	1	0	0	1	1	4	1	1	4	0	0	0
A[Ins(T):R0]G	36	40	6	11	43	14	14	12	19	27	138	26	1	17	23	94	7	2	9	5	23	5	11	3	4	33	0	6	4	14	19	19	28	30	12	14	52	15	16	192	4	33	29	7	1	5
A[Ins(T):R1]A	24	10	5	7	7	3	5	1	3	1	13	10	0	4	4	27	11	2	11	9	9	6	2	2	3	15	160	6	6	6	4	5	6	15	1	6	13	2	6	14	7	18	10	4	4	2
